                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0446,                 4.0972,                 2.1166,                0.00244,                0.52381,                0.01572,                 0.0083,                 1.9239,                 4.1653,                 2.3141,                      0,                      0,                      0
                      2,                  2.069,                 3.9873,                 2.1938,                0.00244,                0.52381,                0.01784,                0.00921,                 1.9054,                  4.159,                 2.2992,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                 1.9494,                 4.0689,                 1.9833,                0.00267,                0.57143,                0.02087,                0.01091,                 1.8506,                 4.0986,                 2.2584,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                 1.7873,                 3.9365,                 1.8994,                0.00333,                0.71429,                0.10678,                 0.0632,                 1.7473,                 4.0477,                 2.1447,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                 1.9187,                 3.9015,                  1.999,                0.00333,                0.71429,                0.13685,                0.09119,                 1.6248,                 3.9652,                 2.0444,              4.832e-05,              4.832e-05,              4.832e-05
                      6,                 1.7963,                  3.958,                 1.8993,                0.00356,                 0.7619,                0.16268,                0.09962,                 1.5371,                 3.8915,                 1.9593,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 1.4821,                 3.3661,                 1.7536,                0.00356,                 0.7619,                0.19623,                0.13679,                 1.4656,                 3.7988,                 1.8809,              4.872e-05,              4.872e-05,              4.872e-05
                      8,                 1.6262,                 3.7108,                 1.7874,                0.00378,                0.80952,                0.25936,                0.17151,                 1.3784,                 3.7727,                 1.8058,              4.298e-05,              4.298e-05,              4.298e-05
                      9,                 1.5102,                 3.5026,                  1.707,                0.00378,                0.80952,                 0.2796,                0.20128,                 1.3427,                 3.7249,                 1.7729,              3.328e-05,              3.328e-05,              3.328e-05
                     10,                 1.3056,                 3.4335,                 1.6562,                0.00378,                0.80952,                0.25916,                0.18509,                 1.3175,                 3.7199,                 1.7626,              1.962e-05,              1.962e-05,              1.962e-05
