                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0138,                 3.6435,                 1.9768,                0.00222,                0.47619,                0.01654,                0.00882,                 1.9227,                 4.1604,                 2.3138,                      0,                      0,                      0
                      2,                 1.8712,                 3.3432,                 1.7259,                0.00244,                0.52381,                0.01861,                0.00974,                 1.8961,                 4.1702,                 2.3069,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 1.8275,                 3.4964,                 1.7763,                0.00289,                0.61905,                0.07457,                0.05335,                 1.8324,                 4.1249,                 2.1946,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 1.7276,                 3.3667,                 1.7683,                0.00289,                0.61905,                0.10773,                0.07965,                  1.691,                 3.8913,                 1.9855,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.5836,                 3.1232,                 1.6098,                0.00356,                 0.7619,                 0.1972,                0.15701,                 1.5591,                 3.6726,                 1.8138,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 1.8115,                 3.1782,                 1.8293,                0.00333,                0.71429,                0.30154,                0.21571,                 1.4242,                 3.6184,                 1.6582,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.4929,                 2.8438,                 1.5878,                0.00378,                0.80952,                0.29887,                0.22691,                 1.3127,                 3.5541,                 1.5565,             0.00011287,             0.00011287,             0.00011287
                      8,                 1.3281,                 2.8352,                 1.4441,                0.00422,                0.90476,                 0.3258,                0.23216,                 1.2824,                 3.4789,                 1.5319,              0.0001303,              0.0001303,              0.0001303
                      9,                  1.331,                  2.664,                 1.4681,                0.00422,                0.90476,                0.31864,                0.22671,                 1.1658,                 3.4642,                 1.4037,             0.00014733,             0.00014733,             0.00014733
                     10,                 1.4718,                 2.8363,                 1.6712,                0.00422,                0.90476,                0.40029,                 0.2409,                  1.099,                 3.3972,                 1.3049,             0.00016396,             0.00016396,             0.00016396
                     11,                 1.1757,                 2.5615,                  1.392,                0.00422,                0.90476,                0.45852,                0.27782,                  1.061,                 3.3198,                 1.2624,              0.0001802,              0.0001802,              0.0001802
                     12,                 1.1788,                 2.3124,                 1.3299,                0.00444,                0.95238,                 0.5105,                0.33343,                0.98299,                 3.1945,                 1.1935,             0.00019604,             0.00019604,             0.00019604
                     13,                 1.2568,                 2.3679,                 1.3728,                0.00467,                      1,                0.58501,                0.40757,                0.95537,                 3.1124,                   1.16,             0.00021149,             0.00021149,             0.00021149
                     14,                 1.2503,                 2.1527,                 1.3634,                0.00467,                      1,                0.61066,                0.40386,                0.95125,                 3.0262,                 1.1257,             0.00022654,             0.00022654,             0.00022654
                     15,                 1.2066,                 1.7479,                 1.3838,                0.00697,                0.84956,                0.61905,                0.46172,                0.98343,                  2.946,                 1.1128,             0.00024119,             0.00024119,             0.00024119
                     16,                 1.0372,                 1.6833,                 1.1762,                0.34646,                 0.7619,                0.60755,                0.41816,                  1.001,                 2.9062,                 1.1078,             0.00025545,             0.00025545,             0.00025545
                     17,                 1.0931,                 1.6834,                 1.2622,                0.76286,                0.30775,                0.60023,                0.44431,                 1.0139,                 2.8785,                  1.107,             0.00026931,             0.00026931,             0.00026931
                     18,                 1.3544,                 2.0756,                 1.4654,                0.76286,                0.30775,                0.60023,                0.44431,                 1.0139,                 2.8785,                  1.107,             0.00028278,             0.00028278,             0.00028278
                     19,                 1.0118,                  1.526,                 1.1633,                0.83482,                0.48173,                0.65644,                0.47766,                 1.0056,                 2.8333,                 1.0929,             0.00029585,             0.00029585,             0.00029585
                     20,                 1.0784,                 1.8171,                 1.2456,                0.83482,                0.48173,                0.65644,                0.47766,                 1.0056,                 2.8333,                 1.0929,             0.00030852,             0.00030852,             0.00030852
                     21,                 1.0918,                 1.8071,                 1.3592,                0.25081,                0.85714,                0.74034,                0.52171,                0.98515,                 2.8171,                 1.0677,              0.0003208,              0.0003208,              0.0003208
                     22,                 1.0646,                  1.715,                 1.2075,                0.25081,                0.85714,                0.74034,                0.52171,                0.98515,                 2.8171,                 1.0677,             0.00033268,             0.00033268,             0.00033268
                     23,                 1.1488,                 1.5943,                 1.1806,                0.01404,                0.90476,                0.83734,                0.61415,                0.96698,                 2.8191,                 1.0486,             0.00034417,             0.00034417,             0.00034417
                     24,                 1.0864,                  1.573,                 1.2552,                0.01404,                0.90476,                0.83734,                0.61415,                0.96698,                 2.8191,                 1.0486,             0.00035526,             0.00035526,             0.00035526
                     25,                 1.0957,                  1.528,                 1.1862,                0.00701,                0.90476,                0.86328,                0.62415,                0.92015,                 2.8456,                 1.0293,             0.00036595,             0.00036595,             0.00036595
                     26,                 1.0776,                 1.5781,                 1.2535,                0.00701,                0.90476,                0.86328,                0.62415,                0.92015,                 2.8456,                 1.0293,             0.00037625,             0.00037625,             0.00037625
                     27,                 1.0246,                 1.5692,                 1.1674,                0.00467,                      1,                0.86013,                0.61451,                 0.9156,                 2.8391,                 1.0389,             0.00038615,             0.00038615,             0.00038615
