                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1804,                 13.601,                 4.2346,                 0.0005,                    0.6,                0.00343,                0.00069,                 2.8227,                 8.8799,                 4.1587,                  2e-05,                  2e-05,                  2e-05
                      2,                  1.634,                 19.762,                 2.0976,                 0.0005,                    0.6,                0.00346,                0.00071,                 2.8226,                 8.8828,                 4.1586,              5.406e-05,              5.406e-05,              5.406e-05
                      3,                  3.781,                  9.056,                 4.2512,                 0.0005,                    0.6,                0.00663,                0.00093,                 2.8224,                 8.8862,                 4.1583,               8.02e-05,               8.02e-05,               8.02e-05
                      4,                 1.7645,                 19.439,                 2.0883,                 0.0005,                    0.6,                0.00462,                0.00092,                  2.822,                 8.8898,                 4.1579,              9.842e-05,              9.842e-05,              9.842e-05
                      5,                 3.2673,                 10.403,                 4.1823,                 0.0005,                    0.6,                0.00314,                0.00087,                 2.8214,                 8.8907,                 4.1574,             0.00010872,             0.00010872,             0.00010872
                      6,                 3.2682,                 9.4621,                 4.2281,                 0.0005,                    0.6,                0.00539,                0.00114,                 2.8207,                 8.8887,                 4.1568,              0.0001111,              0.0001111,              0.0001111
                      7,                 3.3131,                 9.0974,                 4.1066,                 0.0005,                    0.6,                0.00521,                0.00098,                 2.8199,                 8.8857,                 4.1562,             0.00010556,             0.00010556,             0.00010556
                      8,                 3.5459,                 9.4415,                 4.1473,                 0.0005,                    0.6,                0.00209,                0.00075,                 2.8192,                 8.8826,                 4.1556,               9.21e-05,               9.21e-05,               9.21e-05
                      9,                 2.8488,                 9.9163,                 4.4805,                 0.0005,                    0.6,                 0.0023,                0.00076,                 2.8188,                 8.8811,                 4.1552,              7.072e-05,              7.072e-05,              7.072e-05
                     10,                 3.8237,                 10.924,                 4.1824,                 0.0005,                    0.6,                0.00678,                0.00102,                 2.8181,                 8.8803,                 4.1547,              4.142e-05,              4.142e-05,              4.142e-05
