                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.617,                 4.7334,                 4.3601,                0.00133,                0.28571,                0.00164,                0.00034,                 3.6224,                 4.5417,                 4.1589,                      0,                      0,                      0
                      2,                 3.9514,                 4.7926,                 4.2632,                0.00133,                0.28571,                0.00213,                0.00043,                 3.6237,                 4.5388,                 4.1588,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                 3.9435,                 4.9421,                 4.3675,                0.00133,                0.28571,                0.00188,                0.00041,                 3.6236,                 4.5386,                 4.1588,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                 3.7196,                 4.7384,                 4.3152,                0.00133,                0.28571,                0.00272,                0.00046,                 3.6236,                 4.5388,                 4.1587,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                 3.9213,                 4.7476,                 4.2504,                0.00133,                0.28571,                0.00406,                0.00058,                 3.6235,                 4.5386,                 4.1587,              4.832e-05,              4.832e-05,              4.832e-05
                      6,                 3.8097,                 5.0601,                 4.4826,                0.00133,                0.28571,                0.00281,                0.00052,                 3.6235,                 4.5389,                 4.1586,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 3.5145,                 4.4194,                 4.3285,                0.00133,                0.28571,                 0.0014,                0.00034,                 3.6234,                  4.539,                 4.1586,              4.872e-05,              4.872e-05,              4.872e-05
                      8,                 3.5851,                 4.5814,                 4.2961,                0.00156,                0.33333,                0.00252,                0.00048,                 3.6233,                 4.5391,                 4.1585,              4.298e-05,              4.298e-05,              4.298e-05
                      9,                 3.8246,                 4.6877,                 4.2846,                0.00133,                0.28571,                0.00209,                0.00045,                 3.6233,                 4.5394,                 4.1585,              3.328e-05,              3.328e-05,              3.328e-05
                     10,                 3.8146,                 4.5858,                 4.2523,                0.00133,                0.28571,                0.00232,                0.00052,                 3.6232,                 4.5396,                 4.1584,              1.962e-05,              1.962e-05,              1.962e-05
